axis_id,classification,reason,redundancy_status,conditional_separation_status,residual_relevance_status,macro_dynamics_status,recommended_next_action
distribution_shape_01,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_02,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_03,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_04,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_05,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_06,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_07,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_08,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_short_payoff,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_medium_payoff,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_effective_medium_payoff,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
